id,date,competition,homeTeam,awayTeam,homeScore,awayScore,venue,xgHome,xgAway,source
sample-001,2024-06-20,Copa America,Argentina,Canada,2,0,neutral,1.9,0.7,sample
sample-002,2024-06-24,Copa America,Colombia,Paraguay,2,1,neutral,1.6,0.9,sample
sample-003,2024-06-25,Copa America,Brazil,Costa Rica,0,0,neutral,1.8,0.4,sample
sample-004,2024-06-26,Copa America,Mexico,Venezuela,0,1,neutral,1.1,1.2,sample
sample-005,2024-07-02,Copa America,Brazil,Colombia,1,1,neutral,1.2,1.0,sample
sample-006,2024-07-05,Copa America,Argentina,Ecuador,1,1,neutral,1.4,0.8,sample
sample-007,2024-07-06,Copa America,Colombia,Panama,5,0,neutral,2.7,0.5,sample
sample-008,2024-07-09,Copa America,Argentina,Canada,2,0,neutral,1.7,0.6,sample
sample-009,2024-07-10,Copa America,Colombia,Uruguay,1,0,neutral,0.9,1.1,sample
sample-010,2024-07-14,Copa America,Argentina,Colombia,1,0,neutral,1.3,0.9,sample
sample-011,2024-06-14,Euro,Spain,Croatia,3,0,neutral,2.0,0.9,sample
sample-012,2024-06-16,Euro,Netherlands,Poland,2,1,neutral,1.8,1.0,sample
sample-013,2024-06-17,Euro,France,Austria,1,0,neutral,1.5,0.7,sample
sample-014,2024-07-05,Euro,Spain,Germany,2,1,neutral,1.7,1.4,sample
sample-015,2024-07-09,Euro,Spain,France,2,1,neutral,1.4,0.8,sample
sample-016,2024-07-14,Euro,Spain,England,2,1,neutral,1.6,0.9,sample
